,LotArea,Condition2,OverallQual,RoofMatl,ExterQual,BsmtFinSF1,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,PoolQC,SalePrice
0,8450,0,7,3,4,706,856,854,3,1,8,548,0,208500
1,9600,0,6,3,3,978,1262,0,3,1,6,460,0,181500
2,11250,0,7,3,4,486,920,866,3,1,6,608,0,223500
3,9550,0,7,3,3,216,961,756,3,1,7,642,0,140000
4,14260,0,8,3,4,655,1145,1053,4,1,9,836,0,250000
5,14115,0,5,3,3,732,796,566,1,1,5,480,0,143000
6,10084,0,8,3,4,1369,1694,0,3,1,7,636,0,307000
7,10382,0,7,3,3,859,1107,983,3,1,7,484,0,200000
8,6120,0,7,3,3,0,1022,752,2,2,8,468,0,129900
9,7420,-1,5,3,3,851,1077,0,2,2,5,205,0,118000
10,11200,0,5,3,3,906,1040,0,3,1,5,384,0,129500
11,11924,0,9,3,5,998,1182,1142,4,1,11,736,0,345000
12,12968,0,5,3,3,737,912,0,2,1,4,352,0,144000
13,10652,0,7,3,4,0,1494,0,3,1,7,840,0,279500
14,10920,0,6,3,3,733,1253,0,2,1,5,352,0,157000
15,6120,0,7,3,3,0,854,0,2,1,5,576,0,132000
16,11241,0,6,3,3,578,1004,0,2,1,5,480,0,149000
17,10791,0,4,3,3,0,1296,0,2,2,6,516,0,90000
18,13695,0,5,3,3,646,1114,0,3,1,6,576,0,159000
19,7560,0,5,3,3,504,1339,0,3,1,6,294,0,139000
20,14215,0,8,3,4,0,1158,1218,4,1,9,853,0,325300
21,7449,0,7,3,3,0,1108,0,3,1,6,280,0,139400
22,9742,0,8,3,4,0,1795,0,3,1,7,534,0,230000
23,4224,0,5,3,3,840,1060,0,3,1,6,572,0,129900
24,8246,0,5,3,3,188,1060,0,3,1,6,270,0,154000
25,14230,0,8,3,4,0,1600,0,3,1,7,890,0,256300
26,7200,0,5,3,3,234,900,0,3,1,5,576,0,134800
27,11478,0,8,3,4,1218,1704,0,3,1,7,772,0,306000
28,16321,0,5,3,3,1277,1600,0,2,1,6,319,0,207500
29,6324,-1,4,3,3,0,520,0,1,1,4,240,0,68500
30,8500,0,4,3,3,0,649,668,3,1,6,250,0,40000
31,8544,0,5,3,3,0,1228,0,3,1,6,271,0,149350
32,11049,0,8,3,4,0,1234,0,3,1,7,484,0,179900
33,10552,0,5,3,3,1018,1700,0,4,1,6,447,0,165500
34,7313,0,9,3,5,1153,1561,0,2,1,6,556,0,277500
35,13418,0,8,3,4,0,1132,1320,4,1,9,691,0,309000
36,10859,0,5,3,3,0,1097,0,3,1,6,672,0,145000
37,8532,0,5,3,3,1213,1297,0,3,1,5,498,0,153000
38,7922,0,5,3,3,731,1057,0,3,1,5,246,0,109000
39,6040,0,4,3,3,0,1152,0,2,2,6,0,0,82000
40,8658,0,6,3,3,643,1324,0,3,1,6,440,0,160000
41,16905,0,5,3,3,967,1328,0,2,1,5,308,0,170000
42,9180,0,5,3,3,747,884,0,2,1,5,504,0,144000
43,9200,0,5,3,3,280,938,0,3,1,5,308,0,130250
44,7945,0,5,3,3,179,1150,0,3,1,6,300,0,141000
45,7658,0,9,3,5,456,1752,0,2,1,6,576,0,319900
46,12822,0,7,3,4,1351,1518,631,1,1,6,670,0,239686
47,11096,0,8,3,4,24,1656,0,3,1,7,826,0,249700
48,4456,0,4,3,3,0,736,716,2,3,8,0,0,113000
49,7742,0,5,3,3,763,955,0,3,1,6,386,0,127000
50,13869,0,6,3,3,182,794,676,3,1,6,388,0,177000
51,6240,0,6,3,3,0,816,0,3,1,6,528,0,114500
52,8472,0,5,3,2,104,816,0,2,1,5,516,0,110000
53,50271,0,9,6,4,1810,1842,0,0,1,5,894,0,385000
54,7134,0,5,3,3,384,1360,0,3,1,6,572,0,130000
55,10175,0,6,3,3,490,1425,0,3,1,7,576,0,180500
56,2645,0,8,3,4,649,983,756,3,1,7,480,0,172500
57,11645,0,7,3,4,0,860,860,3,1,7,565,0,196500
58,13682,0,10,3,5,0,1426,1519,3,1,10,641,0,438780
59,7200,0,5,3,3,632,780,0,2,1,4,352,0,124900
60,13072,0,6,3,3,941,1158,0,3,1,5,576,0,158000
61,7200,0,5,3,3,0,581,530,3,1,6,288,0,101000
62,6442,0,8,3,4,24,1370,0,2,1,6,484,0,202500
63,10300,-1,7,3,3,0,902,808,3,1,9,480,0,140000
64,9375,0,7,3,3,739,1057,977,3,1,8,645,0,219500
65,9591,0,8,3,4,0,1143,1330,4,1,9,852,0,317000
66,19900,0,7,3,3,912,2207,0,3,1,7,576,0,180000
67,10665,0,7,3,4,1013,1479,0,3,1,7,558,0,226000
68,4608,0,4,3,3,0,747,0,2,1,4,220,0,80000
69,15593,0,7,3,4,603,1304,983,3,1,7,667,0,225000
70,13651,0,7,3,3,1880,2223,0,3,1,8,516,0,244000
71,7599,0,4,3,3,565,845,0,2,1,4,360,0,129500
72,10141,0,7,3,3,0,885,833,3,1,7,427,0,185000
73,10200,0,5,3,3,320,1086,0,3,1,6,490,0,144900
74,5790,0,3,3,4,0,840,765,3,2,8,379,0,107400
75,1596,0,4,3,3,462,526,462,2,1,5,297,0,91000
76,8475,0,4,3,3,228,952,0,2,1,4,283,0,135750
77,8635,0,5,3,3,336,1072,213,2,1,6,240,0,127000
78,10778,0,4,3,3,0,1768,0,4,2,8,0,0,136500
79,10440,0,5,3,3,0,682,548,2,1,5,440,0,110000
80,13000,0,6,3,3,448,1182,960,4,1,8,509,0,193500
81,4500,0,6,3,3,1201,1337,0,2,1,5,405,0,153500
82,10206,0,8,3,3,33,1563,0,3,1,6,758,0,245000
83,8892,0,5,3,3,0,1065,0,3,1,6,461,0,126500
84,8530,0,7,3,3,0,804,670,3,1,7,400,0,168500
85,16059,0,8,3,4,0,1301,1116,4,1,9,462,0,260000
86,11911,0,6,3,4,0,684,876,3,1,6,400,0,174000
87,3951,0,6,3,4,0,612,612,2,1,4,528,0,164500
88,8470,-1,3,3,2,0,1013,0,2,1,6,0,0,85000
89,8070,0,4,3,3,588,990,0,3,1,5,0,0,123600
90,7200,0,4,3,3,0,1040,0,2,1,4,420,0,109900
91,8500,0,5,3,3,600,1235,0,2,1,6,480,0,98600
92,13360,0,5,3,3,713,964,0,2,1,5,432,0,163500
93,7200,0,6,3,3,1046,1260,1031,4,2,9,506,0,133900
94,9337,0,6,3,3,648,905,881,3,1,7,684,0,204750
95,9765,0,6,3,5,310,680,790,3,1,6,420,0,185000
96,10264,0,7,3,4,1162,1588,0,3,1,6,472,0,214000
97,10921,0,4,3,3,520,960,0,3,1,6,432,0,94750
98,10625,0,5,3,3,108,835,0,2,1,5,366,0,83000
99,9320,0,4,3,3,569,1225,0,3,1,6,0,0,128950
100,10603,0,6,3,3,1200,1610,0,3,1,6,480,0,205000
101,9206,0,6,3,4,0,977,755,3,1,7,476,0,178000
102,7018,0,5,3,3,0,1535,0,4,2,8,410,0,118964
103,10402,0,7,3,3,0,1226,0,3,1,6,740,0,198900
104,7758,0,7,3,3,224,1226,592,4,1,7,240,0,169500
105,9375,0,8,3,4,0,1053,939,3,1,9,648,0,250000
106,10800,0,4,3,3,0,1047,0,2,1,6,273,0,100000
107,6000,0,5,3,3,104,789,0,2,1,5,250,0,115000
108,8500,0,5,3,3,0,997,520,3,1,7,0,0,115000
109,11751,0,6,3,3,705,1844,0,3,1,7,546,0,190000
110,9525,0,6,3,3,444,1216,639,4,1,7,325,0,136900
111,7750,0,7,3,3,250,774,656,3,1,7,400,0,180000
112,9965,0,7,3,4,984,1282,1414,4,1,10,792,0,383970
113,21000,0,6,3,3,35,2259,0,3,1,7,450,0,217000
114,7259,0,6,3,3,774,1436,884,3,1,9,180,0,259500
115,3230,0,6,3,3,419,729,729,2,1,5,440,0,176000
116,11616,0,5,3,3,170,1092,0,3,1,6,288,0,139000
117,8536,0,5,3,3,0,1125,0,2,1,5,430,0,155000
118,12376,0,7,3,3,1470,1699,1523,5,1,11,594,0,320000
119,8461,0,6,3,4,0,728,728,3,1,8,390,0,163990
120,21453,0,6,2,3,938,988,0,1,1,4,540,0,180000
121,6060,0,4,3,3,0,772,351,3,1,4,264,0,100000
122,9464,0,6,3,3,570,1080,0,3,1,5,288,0,136000
123,7892,0,6,3,4,300,1199,0,2,1,5,530,0,153900
124,17043,0,6,3,3,0,1586,0,3,1,7,435,0,181000
125,6780,0,6,3,3,490,520,0,2,1,5,0,0,84500
126,4928,0,6,3,3,120,958,0,2,1,5,440,0,128000
127,4388,0,5,3,3,116,840,0,3,1,5,0,0,87000
128,7590,0,6,3,3,512,660,688,3,1,6,453,0,155000
129,8973,0,5,3,3,567,1053,0,3,1,6,750,0,150000
130,14200,0,7,3,3,445,1216,941,4,1,8,487,0,226000
131,12224,0,6,3,4,695,1022,1032,3,1,7,390,0,244000
132,7388,0,5,3,3,405,1327,0,3,1,7,624,0,150750
133,6853,0,8,3,4,1005,1296,0,2,1,6,471,0,220000
134,10335,0,5,3,3,570,1721,0,3,1,7,440,0,180000
135,10400,0,7,3,3,0,1682,0,3,1,7,530,0,174000
136,10355,0,5,3,3,695,1214,0,3,1,5,318,0,143000
137,11070,0,7,3,3,0,1959,0,5,2,9,766,0,171000
138,9066,0,8,3,4,668,1004,848,3,1,7,660,0,230000
139,15426,0,6,3,3,821,928,836,3,1,7,470,0,231500
140,10500,0,4,3,3,432,864,0,3,1,5,0,0,115000
141,11645,0,7,3,4,1300,1734,0,3,1,7,660,0,260000
142,8520,0,5,3,3,507,910,475,4,1,6,720,0,166000
143,10335,0,7,3,4,679,1501,0,3,1,6,577,0,204000
144,9100,0,5,3,3,1332,1728,0,6,2,10,504,0,125000
145,2522,0,6,3,4,0,970,739,3,1,7,380,0,130000
146,6120,0,5,3,3,209,875,0,2,1,5,180,0,105000
147,9505,0,7,3,4,0,884,1151,3,1,8,434,0,222500
148,7500,0,7,3,3,680,1080,0,3,1,6,0,0,141000
149,6240,0,5,3,3,0,896,448,3,1,7,240,0,115000
150,10356,0,5,3,3,716,969,0,3,1,5,440,0,122000
151,13891,0,8,3,4,1400,1710,0,2,1,6,866,0,372402
152,14803,0,6,3,3,416,1097,896,4,1,8,495,0,190000
153,13500,0,6,3,3,429,1252,0,1,1,4,564,0,235000
154,11340,0,6,3,3,0,1200,0,4,1,7,312,0,125000
155,9600,0,6,3,3,0,572,524,2,1,5,0,0,79000
156,7200,0,5,3,3,0,1040,0,2,1,5,625,0,109500
157,12003,0,8,3,4,0,774,1194,4,1,8,680,0,269500
158,12552,0,7,3,4,222,991,956,3,1,8,678,0,254900
159,19378,0,7,3,4,57,1392,1070,4,1,9,576,0,320000
160,11120,0,6,3,3,660,1232,0,3,1,6,516,0,162500
161,13688,0,9,3,4,1016,1572,1096,3,1,10,726,0,412500
162,12182,0,7,3,4,1201,1541,0,3,1,7,532,0,220000
163,5500,0,4,3,3,0,882,0,1,1,4,0,0,103200
164,5400,0,6,3,3,370,1149,467,3,1,5,216,0,152000
165,10106,0,5,3,3,351,808,547,4,2,6,0,0,127500
166,10708,0,5,3,4,379,1867,0,2,1,7,303,0,190000
167,10562,0,8,3,4,1288,1610,551,3,1,8,789,0,325624
168,8244,0,7,3,4,0,840,880,3,1,7,440,0,183500
169,16669,0,8,4,4,0,1707,0,2,1,6,511,0,228000
170,12358,0,5,3,3,360,854,0,2,1,7,660,0,128500
171,31770,0,6,3,3,639,1656,0,3,1,7,528,0,215000
172,5306,0,7,3,4,495,1064,703,2,1,5,504,0,239000
173,10197,0,6,3,3,288,1362,0,3,1,6,504,0,163000
174,12416,0,6,3,3,1398,1651,0,3,1,7,616,0,184000
175,12615,0,6,3,3,477,2158,0,4,1,7,576,0,243000
176,10029,0,6,3,4,831,1164,896,4,1,8,521,0,211000
177,13650,0,5,3,4,57,1252,668,4,1,8,451,0,172500
178,17423,0,9,3,5,1904,2234,0,1,1,9,1166,0,501837
179,8520,0,5,3,4,0,968,0,2,1,5,480,0,100000
180,2117,0,6,3,4,436,769,756,3,1,5,440,0,177000
181,7588,0,7,3,3,352,901,901,4,1,9,216,0,200100
182,9060,0,5,3,3,0,1340,0,3,1,7,252,0,120000
183,11426,0,7,3,3,0,1362,720,3,1,6,484,0,200000
184,7438,-1,5,3,3,0,936,316,3,1,5,576,0,127000
185,22950,0,10,6,4,0,1518,1518,4,1,12,840,0,475000
186,9947,0,7,3,3,611,1217,0,3,1,6,497,0,173000
187,10410,0,5,3,3,0,808,704,3,1,8,180,0,135000
188,7018,0,5,3,3,1086,1224,0,2,2,6,528,0,153337
189,4923,0,8,3,4,1153,1593,0,0,1,5,682,0,286000
190,10570,0,8,3,4,297,1549,1178,3,1,10,440,0,315000
191,7472,0,7,3,3,626,725,754,4,1,7,484,0,184000
192,9017,0,7,3,4,560,1431,0,3,1,6,666,0,192000
193,2522,0,7,3,4,0,970,739,3,1,7,380,0,130000
194,7180,0,5,3,3,390,864,0,3,1,5,352,0,127000
195,2280,0,6,3,3,566,855,601,3,1,7,440,0,148500
196,9416,0,7,3,5,1126,1726,0,3,1,8,786,0,311872
197,25419,0,8,3,4,1036,1360,1360,4,1,8,795,4,235000
198,5520,0,6,3,3,0,929,929,5,1,8,0,0,104000
199,9591,0,8,3,4,1088,1713,0,3,1,7,856,0,274900
200,8546,0,4,3,3,0,1121,0,2,1,5,440,0,140000
201,10125,0,6,3,3,641,1279,0,3,1,6,473,0,171500
202,7000,0,6,3,3,617,865,445,2,1,6,398,0,112000
203,4438,0,6,3,4,662,848,0,1,1,3,420,0,149000
204,3500,0,5,3,3,312,720,564,2,1,5,240,0,110000
205,11851,0,7,3,3,0,1442,0,3,1,5,500,0,180500
206,13673,0,5,3,3,0,1696,0,3,1,8,349,0,143900
207,12493,0,4,3,3,419,1100,0,3,1,6,312,0,141000
208,14364,0,7,3,4,1065,1180,882,3,1,7,454,0,277000
209,8250,0,6,3,3,787,1092,0,3,1,6,504,0,145000
210,5604,0,5,3,3,468,864,0,2,1,5,0,0,98000
211,10420,0,6,3,3,36,1212,0,3,1,6,460,0,186000
212,8640,0,7,3,3,822,932,920,3,1,7,644,0,252678
213,13568,0,5,3,3,716,990,0,3,1,5,576,0,156000
214,10900,0,6,3,3,378,689,703,3,1,6,299,0,161750
215,10011,0,5,3,3,360,1236,0,2,1,6,447,0,134450
216,8450,0,7,3,4,946,1436,0,3,1,8,484,0,210000
217,9906,0,4,3,3,0,810,518,3,1,8,210,0,107000
218,15660,0,7,3,4,341,1137,817,3,1,8,431,0,311500
219,3010,0,7,3,4,16,1248,0,2,1,5,438,0,167240
220,8990,0,7,3,4,0,1498,0,2,1,5,675,0,204900
221,8068,0,6,3,4,0,1010,1257,4,1,8,390,0,200000
222,11475,0,6,3,3,550,811,741,3,1,6,434,0,179900
223,10500,0,4,3,3,524,864,0,2,1,4,576,0,97000
224,13472,0,10,3,5,56,2392,0,3,1,8,968,0,386250
225,1680,0,5,3,3,0,630,672,3,1,6,280,0,112000
226,9950,0,7,3,4,565,1214,1306,4,1,9,721,0,290000
227,1869,0,6,3,3,321,483,504,2,1,5,280,0,106000
228,8521,0,5,3,3,842,912,0,3,1,5,336,0,125000
229,3182,0,7,3,4,16,1555,0,2,1,7,430,0,192500
230,8760,0,6,3,3,0,1194,0,3,1,6,312,0,148000
231,15138,0,8,3,4,689,1490,1304,4,1,9,810,0,403000
232,1680,0,6,3,3,0,483,504,2,1,5,288,0,94500
233,10650,0,5,3,3,182,894,0,3,1,5,308,0,128200
234,7851,0,6,3,4,625,860,1100,4,1,8,440,0,216500
235,1680,0,6,3,3,358,483,504,2,1,5,264,0,89500
236,8773,0,7,3,4,24,1414,0,3,1,6,494,0,185500
237,9453,0,7,3,4,402,1014,730,3,1,7,457,0,194500
238,12030,0,8,3,5,0,1694,0,3,1,7,818,0,318000
239,8741,0,6,3,3,94,798,689,3,1,7,220,0,113000
240,9000,0,8,3,4,1078,1566,0,3,1,7,750,0,262500
241,3880,0,5,3,3,329,866,0,2,1,4,0,0,110500
242,5000,0,5,3,3,0,889,551,3,1,6,352,0,79000
243,10762,0,6,3,3,0,626,591,3,1,6,288,0,120000
244,8880,0,7,3,4,695,1222,888,3,1,8,463,0,205000
245,10400,0,7,3,3,929,1872,0,3,1,6,604,0,241500
246,9142,0,6,3,3,0,908,1020,4,2,9,440,0,137000
247,11310,0,6,3,3,0,1375,0,2,1,5,451,0,140000
248,11317,0,7,3,4,0,840,828,3,1,8,500,0,180000
249,159000,0,6,3,4,697,1444,700,4,1,7,389,0,277000
250,5350,0,3,3,3,0,1306,0,3,1,6,0,0,76500
251,4750,0,8,3,4,1573,1625,0,2,1,5,538,0,235000
252,8366,0,6,3,4,0,798,842,3,1,6,520,0,173000
253,9350,0,6,3,3,270,1302,0,3,1,7,309,0,158000
254,8400,0,5,3,3,922,1314,0,3,1,5,294,0,145000
255,8738,0,7,3,4,0,1005,1286,4,1,8,429,0,230000
256,8791,0,6,3,4,503,864,864,3,1,7,673,0,207500
257,8814,0,7,3,4,1334,1604,0,3,1,8,660,0,220000
258,12435,0,7,3,4,361,963,829,3,1,7,564,0,231500
259,12702,0,5,3,3,0,882,0,2,1,4,308,0,97000
260,19296,0,6,3,3,672,1382,0,3,1,6,884,0,176000
261,9588,0,8,3,4,0,1482,1092,3,1,10,868,0,276000
262,8471,0,6,3,3,506,1212,0,3,1,6,492,0,151000
263,5500,0,5,3,3,234,926,0,3,1,6,484,0,130000
264,5232,0,5,3,3,0,764,0,2,1,4,504,0,73000
265,12090,0,6,3,3,588,1422,0,3,1,7,576,0,175500
266,11207,0,6,3,3,714,802,709,3,1,8,413,0,185000
267,8400,0,5,3,3,378,1052,720,4,1,8,240,0,179500
268,6900,0,5,3,3,403,778,0,2,1,4,924,0,120500
269,7917,0,6,3,3,751,1113,0,3,1,6,504,0,148000
270,10728,0,8,3,4,0,1095,844,3,1,8,1053,0,266000
271,39104,0,7,5,3,226,1363,0,2,1,5,439,0,241500
272,11764,0,8,3,4,524,1164,1106,4,1,9,671,0,290000
273,9600,0,6,3,3,620,1632,0,3,1,6,338,0,139000
274,8314,0,5,3,3,546,816,0,2,1,5,264,0,124500
275,7264,0,7,3,4,0,952,596,3,1,5,672,0,205000
276,9196,0,7,3,4,0,1560,0,3,1,7,573,0,201000
277,19138,0,4,3,3,120,864,0,2,1,4,400,0,141000
278,14450,0,9,3,5,0,2121,0,3,1,8,732,0,415298
279,10005,0,7,3,3,392,1156,866,4,1,8,505,0,192000
280,11287,0,7,3,4,421,1175,807,3,1,7,575,0,228500
281,7200,0,6,3,4,905,1262,0,2,1,5,572,0,185000
282,5063,0,7,3,4,904,1314,0,2,1,6,626,0,207500
283,9612,0,8,3,4,0,1468,0,3,1,6,898,0,244600
284,8012,0,6,3,4,430,1575,0,2,1,5,529,0,179200
285,4251,0,7,3,4,0,625,625,2,1,5,528,0,164700
286,9786,0,6,3,3,600,1085,649,3,1,7,440,0,159000
287,8125,0,4,3,3,614,858,0,3,1,5,0,0,88000
288,9819,0,5,3,3,450,900,0,3,1,5,280,0,122000
289,8730,0,6,3,3,0,698,698,3,1,7,384,0,153575
290,15611,0,8,3,4,0,1079,840,3,1,8,685,0,233230
291,5687,0,5,3,3,210,936,780,6,1,9,0,0,135900
292,11409,0,5,3,3,292,1148,568,3,1,8,281,0,131000
293,16659,0,7,3,3,795,1468,795,3,1,9,539,0,235000
294,9600,0,6,3,3,1285,1644,0,3,1,7,418,0,167000
295,7937,0,6,3,3,819,1003,0,3,1,6,588,0,142500
296,13710,0,5,3,3,420,910,648,4,1,6,282,0,152000
297,7399,0,7,3,4,649,975,975,3,1,7,576,0,239000
298,11700,0,6,3,4,384,1041,702,3,1,7,539,0,175000
299,14000,0,6,3,3,0,1152,0,3,1,6,300,0,158500
300,15750,0,5,3,3,841,1336,0,2,1,5,375,0,157000
301,16226,0,8,3,4,281,1210,1242,4,1,9,683,0,267000
302,13704,0,7,3,4,0,1541,0,3,1,6,843,0,205000
303,9800,0,5,3,3,894,894,0,3,1,5,552,0,149900
304,18386,0,7,3,3,0,1675,1818,3,1,10,870,0,295000
305,10386,0,8,3,4,1464,2000,0,3,1,8,888,0,305900
306,13474,0,7,3,4,700,1122,1121,4,1,8,746,0,225000
307,7920,0,6,3,3,0,1035,371,3,1,6,0,0,89500
308,12342,0,4,3,3,262,861,0,1,1,4,539,0,82500
309,12378,0,9,3,4,1274,1944,0,3,1,8,708,0,360000
310,7685,0,6,3,3,518,697,804,3,1,6,420,0,165600
311,8000,0,6,3,3,680,972,0,2,1,5,240,0,132000
312,7800,0,5,3,3,507,793,325,3,1,5,410,0,119900
313,215245,0,7,3,3,1236,2036,0,3,1,8,513,0,375000
314,9600,0,7,3,3,16,832,809,3,1,6,546,0,178000
315,7795,0,7,3,4,425,716,716,3,1,6,432,0,188500
316,13005,0,7,3,4,692,1153,1200,4,1,10,484,0,260000
317,9000,0,8,3,4,0,1088,871,3,1,8,1025,0,270000
318,9900,0,7,3,4,987,1372,1274,4,1,9,656,0,260000
319,14115,0,7,3,3,1036,1472,0,3,1,6,588,0,187500
320,16259,0,9,3,3,0,1249,1347,4,1,9,840,0,342643
321,12099,0,8,3,4,970,1136,1332,4,1,10,872,0,354000
322,10380,0,7,3,4,28,1553,1177,4,1,8,576,0,301000
323,5820,0,3,3,3,256,1163,0,3,1,6,220,0,126175
324,11275,0,7,4,4,0,1898,1080,5,1,11,564,0,242000
325,5000,0,5,3,3,116,803,0,2,1,5,360,0,87000
326,10846,0,8,3,4,1619,1719,0,1,1,6,473,0,324000
327,11600,0,6,3,3,565,1383,0,3,1,7,292,0,145250
328,11888,0,6,3,3,0,1445,689,5,1,10,441,0,214500
329,6402,0,5,3,3,0,596,596,3,1,6,189,0,78000
330,10624,0,5,3,3,40,1728,0,6,2,10,352,0,119000
331,8176,0,5,3,3,846,1056,0,3,1,6,308,0,139000
332,10655,0,8,3,4,1124,1629,0,3,1,7,880,0,284000
333,8198,0,7,3,4,720,1358,0,2,1,6,484,0,207000
334,9042,0,6,3,3,828,943,695,3,1,7,472,0,192000
335,164660,0,5,3,3,1249,1619,167,3,1,7,529,0,228950
336,14157,0,9,3,4,1249,1922,0,3,1,8,676,0,377426
337,9135,0,7,3,4,810,1536,0,3,1,7,532,0,214000
338,14145,0,7,3,4,213,1621,0,3,1,8,440,0,202500
