,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,MiscVal
0,8450,17,17,196.0,706,0,150,856,854,1710,548,0,0
1,9600,44,44,0.0,978,0,284,1262,0,1262,460,298,0
2,11250,19,18,162.0,486,0,434,920,866,1786,608,0,0
3,9550,105,50,0.0,216,0,540,756,756,1717,642,0,0
4,14260,20,20,350.0,655,0,490,1145,1053,2198,836,192,0
5,14115,27,25,0.0,732,0,64,796,566,1362,480,40,700
6,10084,16,15,186.0,1369,0,317,1686,0,1694,636,255,0
7,10382,47,47,240.0,859,32,216,1107,983,2090,484,235,350
8,6120,89,70,0.0,0,0,952,952,752,1774,468,90,0
9,7420,81,70,0.0,851,0,140,991,0,1077,205,0,0
10,11200,55,55,0.0,906,0,134,1040,0,1040,384,0,0
11,11924,15,14,286.0,998,0,177,1175,1142,2324,736,147,0
12,12968,58,58,0.0,737,0,175,912,0,912,352,140,0
13,10652,14,13,306.0,0,0,1494,1494,0,1494,840,160,0
14,10920,60,60,212.0,733,0,520,1253,0,1253,352,0,0
15,6120,91,19,0.0,0,0,832,832,0,854,576,48,0
16,11241,50,50,180.0,578,0,426,1004,0,1004,480,0,700
17,10791,53,53,0.0,0,0,0,0,0,1296,516,0,500
18,13695,16,16,0.0,646,0,468,1114,0,1114,576,0,0
19,7560,62,55,0.0,504,0,525,1029,0,1339,294,0,0
20,14215,15,14,380.0,0,0,1158,1158,1218,2376,853,240,0
21,7449,90,70,0.0,0,0,637,637,0,1108,280,0,0
22,9742,18,18,281.0,0,0,1777,1777,0,1795,534,171,0
23,4224,44,44,0.0,840,0,200,1040,0,1060,572,100,0
24,8246,52,19,0.0,188,668,204,1060,0,1060,270,406,0
25,14230,13,13,640.0,0,0,1566,1566,0,1600,890,0,0
26,7200,69,20,0.0,234,486,180,900,0,900,576,222,0
27,11478,13,12,200.0,1218,0,486,1704,0,1704,772,0,0
28,16321,63,23,0.0,1277,0,207,1484,0,1600,319,288,0
29,6324,93,70,0.0,0,0,520,520,0,520,240,49,0
30,8500,100,70,0.0,0,0,649,649,668,1317,250,0,0
31,8544,54,14,0.0,0,0,1228,1228,0,1228,271,0,0
32,11049,13,13,0.0,0,0,1234,1234,0,1234,484,0,0
33,10552,61,61,0.0,1018,0,380,1398,0,1700,447,0,0
34,7313,15,15,246.0,1153,0,408,1561,0,1561,556,203,0
35,13418,16,15,132.0,0,0,1117,1117,1320,2452,691,113,0
36,10859,26,25,0.0,0,0,1097,1097,0,1097,672,392,0
37,8532,66,30,650.0,1213,0,84,1297,0,1297,498,0,0
38,7922,67,13,0.0,731,0,326,1057,0,1057,246,0,0
40,8658,55,55,101.0,643,0,445,1088,0,1324,440,0,0
41,16905,61,61,0.0,967,0,383,1350,0,1328,308,0,0
42,9180,37,37,0.0,747,93,0,840,0,884,504,240,0
43,9200,45,40,0.0,280,491,167,938,0,938,308,145,0
44,7945,61,61,0.0,179,506,465,1150,0,1150,300,0,0
45,7658,15,15,412.0,456,0,1296,1752,0,1752,576,196,0
46,12822,17,17,0.0,1351,0,83,1434,631,2149,670,168,0
47,11096,14,14,0.0,24,0,1632,1656,0,1656,826,0,0
49,7742,54,54,0.0,763,0,192,955,0,955,386,0,0
50,13869,23,23,0.0,182,0,612,794,676,1470,388,0,0
51,6240,86,70,0.0,0,0,816,816,0,1176,528,112,400
52,8472,57,57,0.0,104,712,0,816,0,816,516,106,0
53,50271,39,33,0.0,1810,0,32,1842,0,1842,894,857,0
54,7134,65,65,0.0,384,0,0,384,0,1360,572,0,0
55,10175,56,56,272.0,490,0,935,1425,0,1425,576,0,0
56,2645,21,20,456.0,649,0,321,970,756,1739,480,115,0
57,11645,16,16,0.0,0,0,860,860,860,1720,565,0,0
58,13682,14,14,1031.0,0,0,1410,1410,1519,2945,641,192,0
59,7200,48,48,0.0,632,0,148,780,0,780,352,196,0
60,13072,16,16,0.0,941,0,217,1158,0,1158,576,0,0
61,7200,100,24,0.0,0,0,530,530,530,1111,288,0,0
62,6442,14,14,178.0,24,0,1346,1370,0,1370,484,120,0
63,10300,99,70,0.0,0,0,576,576,808,1710,480,12,0
64,9375,23,22,573.0,739,0,318,1057,977,2034,645,576,0
65,9591,16,15,344.0,0,0,1143,1143,1330,2473,852,192,0
66,19900,50,31,287.0,912,0,1035,1947,0,2207,576,301,0
67,10665,17,17,167.0,1013,0,440,1453,0,1479,558,144,0
68,4608,75,70,0.0,0,0,747,747,0,747,220,0,0
69,15593,67,67,0.0,603,0,701,1304,983,2287,667,0,0
70,13651,47,47,1115.0,1880,0,343,2223,0,2223,516,300,0
71,7599,38,14,0.0,565,0,280,845,0,845,360,0,0
72,10141,22,22,40.0,0,0,832,832,833,1718,427,0,0
73,10200,66,17,104.0,320,362,404,1086,0,1086,490,0,0
74,5790,105,70,0.0,0,0,840,840,765,1605,379,0,0
75,1596,47,47,0.0,462,0,0,462,462,988,297,120,0
76,8475,64,64,0.0,228,0,724,952,0,952,283,0,0
77,8635,72,19,0.0,336,41,295,672,213,1285,240,0,0
79,10440,110,39,0.0,0,0,440,440,548,1230,440,74,0
80,13000,52,52,576.0,448,0,448,896,960,2142,509,0,0
81,4500,22,22,443.0,1201,0,36,1237,0,1337,405,0,0
82,10206,13,13,468.0,33,0,1530,1563,0,1563,758,144,0
83,8892,60,60,66.0,0,0,1065,1065,0,1065,461,74,0
84,8530,25,24,22.0,0,0,384,384,670,1474,400,120,700
85,16059,29,28,284.0,0,0,1288,1288,1116,2417,462,127,0
86,11911,15,15,0.0,0,0,684,684,876,1560,400,100,0
87,3951,11,11,76.0,0,0,612,612,612,1224,528,0,0
90,7200,70,70,0.0,0,0,0,0,0,1040,420,0,0
91,8500,59,59,203.0,600,0,635,1235,0,1235,480,0,0
92,13360,99,14,0.0,713,0,163,876,0,964,432,0,0
93,7200,110,22,0.0,1046,0,168,1214,1031,2291,506,0,0
94,9337,23,23,0.0,648,0,176,824,881,1786,684,0,0
95,9765,27,27,68.0,310,0,370,680,790,1470,420,232,480
96,10264,21,21,183.0,1162,0,426,1588,0,1588,472,158,0
97,10921,55,55,48.0,520,0,440,960,0,960,432,120,0
98,10625,100,70,0.0,108,0,350,458,0,835,366,0,400
100,10603,43,19,28.0,1200,0,410,1610,0,1610,480,168,0
101,9206,35,35,336.0,0,0,741,741,755,1732,476,192,0
102,7018,41,41,0.0,0,0,0,0,0,1535,410,0,0
103,10402,11,11,0.0,0,0,1226,1226,0,1226,740,0,0
104,7758,89,70,600.0,224,0,816,1040,592,1818,240,0,0
105,9375,17,16,768.0,0,0,1053,1053,939,1992,648,140,0
106,10800,135,25,0.0,0,0,641,641,0,1047,273,0,450
107,6000,72,70,0.0,104,169,516,789,0,789,250,0,0
109,11751,43,43,480.0,705,0,1139,1844,0,1844,546,0,0
110,9525,66,48,0.0,444,0,550,994,639,1855,325,182,0
111,7750,20,20,0.0,250,0,134,384,656,1430,400,180,0
112,9965,13,13,220.0,984,0,280,1264,1414,2696,792,120,0
113,21000,67,67,184.0,35,869,905,1809,0,2259,450,166,0
114,7259,75,18,0.0,774,150,104,1028,884,2320,180,224,0
115,3230,21,21,1129.0,419,0,310,729,729,1458,440,0,0
116,11616,58,58,116.0,170,670,252,1092,0,1092,288,0,0
117,8536,14,13,0.0,0,0,1125,1125,0,1125,430,80,0
118,12376,30,30,0.0,1470,0,203,1673,1523,3222,594,367,0
119,8461,15,14,0.0,0,0,728,728,728,1456,390,0,0
120,21453,51,51,0.0,938,0,0,938,0,988,540,0,0
121,6060,81,70,0.0,0,0,732,732,351,1123,264,0,0
122,9464,62,62,135.0,570,0,510,1080,0,1080,288,0,0
123,7892,27,27,0.0,300,0,899,1199,0,1199,530,0,0
124,17043,41,22,0.0,0,0,1362,1362,0,1586,435,192,0
126,4928,44,44,0.0,120,0,958,1078,0,958,440,0,0
128,7590,54,54,266.0,512,0,148,660,688,1348,453,188,0
129,8973,62,29,85.0,567,28,413,1008,0,1053,750,0,0
130,14200,54,54,309.0,445,0,479,924,941,2157,487,105,0
131,12224,20,20,40.0,695,0,297,992,1032,2054,390,24,0
132,7388,61,18,0.0,405,0,658,1063,0,1327,624,0,0
133,6853,19,18,136.0,1005,0,262,1267,0,1296,471,192,0
134,10335,52,27,0.0,570,0,891,1461,0,1721,440,0,0
135,10400,50,50,288.0,0,0,1304,1304,0,1682,530,98,0
136,10355,53,53,196.0,695,0,519,1214,0,1214,318,0,0
137,11070,32,31,70.0,0,0,1907,1907,0,1959,766,0,0
138,9066,21,20,320.0,668,0,336,1004,848,1852,660,224,0
139,15426,23,23,0.0,821,0,107,928,836,1764,470,276,0
141,11645,15,15,0.0,1300,0,434,1734,0,1734,660,160,0
142,8520,68,68,0.0,507,0,403,910,475,1385,720,0,0
143,10335,21,21,183.0,679,0,811,1490,0,1501,577,144,0
144,9100,57,57,336.0,1332,0,396,1728,0,1728,504,0,0
145,2522,16,14,50.0,0,0,970,970,739,1709,380,0,0
146,6120,89,27,0.0,209,0,506,715,0,875,180,48,0
147,9505,19,19,180.0,0,0,884,884,1151,2035,434,144,0
149,6240,84,70,0.0,0,0,896,896,448,1344,240,200,0
150,10356,45,45,0.0,716,0,253,969,0,969,440,0,0
151,13891,13,12,436.0,1400,0,310,1710,0,1710,866,0,0
152,14803,49,49,252.0,416,0,409,825,896,1993,495,0,0
153,13500,60,45,0.0,429,1080,93,1602,0,1252,564,409,0
154,11340,97,70,0.0,0,0,1200,1200,0,1200,312,0,0
156,7200,70,70,0.0,0,0,0,0,0,1040,625,0,0
157,12003,11,10,84.0,0,0,774,774,1194,1968,680,0,0
158,12552,16,15,0.0,222,0,769,991,956,1947,678,0,0
159,19378,15,14,456.0,57,0,1335,1392,1070,2462,576,239,0
160,11120,36,36,0.0,660,0,572,1232,0,1232,516,0,0
161,13688,17,16,664.0,1016,0,556,1572,1096,2668,726,400,0
162,12182,15,15,226.0,1201,0,340,1541,0,1541,532,0,0
164,5400,94,16,0.0,370,0,779,1149,467,1616,216,0,0
166,10708,65,27,0.0,379,768,470,1617,0,1867,303,476,0
167,10562,13,13,300.0,1288,0,294,1582,551,2161,789,178,0
168,8244,16,16,0.0,0,0,840,840,880,1720,440,100,0
169,16669,39,39,653.0,0,0,1686,1686,0,1707,511,574,0
170,12358,79,70,0.0,360,0,360,720,0,1382,660,237,0
171,31770,60,60,112.0,639,0,441,1080,0,1656,528,210,0
172,5306,33,33,0.0,495,215,354,1064,703,1767,504,441,0
173,10197,59,59,491.0,288,374,700,1362,0,1362,504,0,0
174,12416,34,34,132.0,1398,208,0,1606,0,1651,616,192,0
175,12615,70,19,0.0,477,0,725,1202,0,2158,576,0,0
176,10029,32,31,268.0,831,0,320,1151,896,2060,521,0,0
177,13650,62,62,0.0,57,441,554,1052,668,1920,451,0,0
178,17423,12,11,748.0,1904,0,312,2216,0,2234,1166,0,0
179,8520,97,14,0.0,0,0,968,968,0,968,480,0,0
180,2117,20,20,456.0,436,0,320,756,756,1525,440,0,0
181,7588,100,70,0.0,352,0,441,793,901,1802,216,0,0
182,9060,63,14,98.0,0,0,0,0,0,1340,252,116,0
183,11426,17,17,0.0,0,0,1362,1362,720,2082,484,280,0
184,7438,112,29,0.0,0,0,504,504,316,1252,576,104,0
185,22950,128,27,0.0,0,0,1107,1107,1518,3608,840,0,0
186,9947,30,29,0.0,611,0,577,1188,0,1217,497,168,0
187,10410,104,33,0.0,0,0,660,660,704,1656,180,0,0
188,7018,41,41,275.0,1086,0,0,1086,0,1224,528,120,0
189,4923,19,18,0.0,1153,0,440,1593,0,1593,682,0,0
190,10570,88,26,0.0,297,0,556,853,1178,2727,440,0,0
191,7472,48,16,138.0,626,0,99,725,754,1479,484,0,0
192,9017,21,21,0.0,560,0,871,1431,0,1431,666,0,0
193,2522,16,16,50.0,0,0,970,970,739,1709,380,0,0
194,7180,48,48,0.0,390,0,474,864,0,864,352,0,0
195,2280,44,44,0.0,566,0,289,855,601,1456,440,87,0
196,9416,13,13,205.0,1126,0,600,1726,0,1726,786,171,0
197,25419,102,30,0.0,1036,184,140,1360,1360,3112,795,0,0
199,9591,16,15,262.0,1088,0,625,1713,0,1713,856,0,0
200,8546,17,16,0.0,0,0,1121,1121,0,1121,440,132,0
201,10125,43,43,0.0,641,279,276,1196,0,1279,473,238,0
202,7000,96,70,0.0,617,0,0,617,445,1310,398,0,0
203,4438,16,16,205.0,662,0,186,848,0,848,420,149,0
204,3500,73,70,0.0,312,0,408,720,564,1284,240,0,0
205,11851,30,30,0.0,0,0,1424,1424,0,1442,500,0,0
206,13673,58,58,0.0,0,0,1140,1140,0,1696,349,0,0
207,12493,60,60,0.0,419,306,375,1100,0,1100,312,355,0
208,14364,32,31,128.0,1065,0,92,1157,882,2062,454,60,0
209,8250,56,56,260.0,787,0,305,1092,0,1092,504,0,0
211,10420,11,11,0.0,36,0,1176,1212,0,1212,460,100,0
212,8640,11,11,0.0,822,0,78,900,920,1852,644,168,0
213,13568,25,25,0.0,716,0,274,990,0,990,576,224,0
214,10900,43,43,153.0,378,0,311,689,703,1392,299,0,450
215,10011,63,24,64.0,360,0,710,1070,0,1236,447,0,0
216,8450,16,16,266.0,946,0,490,1436,0,1436,484,139,0
217,9906,95,70,0.0,0,0,686,686,518,1328,210,0,0
218,15660,81,14,312.0,341,0,457,798,817,1954,431,0,0
219,3010,15,14,16.0,16,0,1232,1248,0,1248,438,108,0
220,8990,14,14,0.0,0,0,1498,1498,0,1498,675,351,0
221,8068,18,18,0.0,0,0,1010,1010,1257,2267,390,120,0
222,11475,45,45,0.0,550,0,163,713,741,1552,434,209,0
223,10500,49,49,0.0,524,180,160,864,0,864,576,216,0
224,13472,17,17,922.0,56,0,2336,2392,0,2392,968,248,0
225,1680,49,49,142.0,0,0,630,630,672,1302,280,0,0
226,9950,25,25,290.0,565,0,638,1203,1306,2520,721,224,0
227,1869,50,50,127.0,321,0,162,483,504,987,280,0,0
228,8521,53,53,0.0,842,0,70,912,0,912,336,0,0
229,3182,15,14,16.0,16,0,1357,1373,0,1555,430,143,0
230,8760,61,61,220.0,0,0,1194,1194,0,1194,312,0,0
231,15138,25,24,506.0,689,0,773,1462,1304,2794,810,0,0
232,1680,48,48,297.0,0,0,483,483,504,987,288,0,0
233,10650,44,44,0.0,182,712,0,894,0,894,308,365,0
235,1680,49,49,604.0,358,0,125,483,504,987,264,0,0
236,8773,16,16,98.0,24,0,1390,1414,0,1414,494,132,0
237,9453,27,17,0.0,402,0,594,996,730,1744,457,370,0
238,12030,13,13,254.0,0,0,1694,1694,0,1694,818,168,0
239,8741,75,70,0.0,94,0,641,735,689,1487,220,0,0
240,9000,12,12,36.0,1078,0,488,1566,0,1566,750,144,0
242,5000,120,70,0.0,0,0,540,540,551,1440,352,0,0
243,10762,40,40,0.0,0,0,626,626,591,1217,288,0,0
244,8880,26,18,0.0,695,0,253,948,888,2110,463,0,0
245,10400,32,32,102.0,929,0,916,1845,0,1872,604,197,0
246,9142,110,70,0.0,0,0,1020,1020,1020,1928,440,0,0
247,11310,66,66,0.0,0,0,1367,1367,0,1375,451,0,0
248,11317,17,17,101.0,0,0,840,840,828,1668,500,144,0
249,159000,62,14,472.0,697,0,747,1444,700,2144,389,0,500
251,4750,14,13,481.0,1573,0,0,1573,0,1625,538,123,0
252,8366,16,16,0.0,0,0,798,798,842,1640,520,138,0
253,9350,56,29,108.0,270,580,452,1302,0,1302,309,333,0
254,8400,63,63,0.0,922,0,392,1314,0,1314,294,250,0
255,8738,21,21,302.0,0,0,975,975,1286,2291,429,192,0
256,8791,17,17,0.0,503,0,361,864,864,1728,673,216,0
257,8814,14,14,180.0,1334,0,270,1604,0,1604,660,123,0
258,12435,19,19,172.0,361,0,602,963,829,1792,564,0,0
259,12702,64,64,0.0,0,0,0,0,0,882,308,0,0
260,19296,58,58,399.0,672,690,0,1362,0,1382,884,0,0
261,9588,13,13,270.0,0,0,1482,1482,1092,2574,868,0,0
262,8471,43,25,46.0,506,0,0,506,0,1212,492,292,0
263,5500,91,19,0.0,234,692,0,926,0,1316,484,0,0
264,5232,95,16,0.0,0,0,680,680,0,764,504,0,0
265,12090,39,39,210.0,588,228,606,1422,0,1422,576,276,0
266,11207,23,23,0.0,714,0,88,802,709,1511,413,95,0
267,8400,81,23,0.0,378,0,342,720,720,2192,240,262,0
268,6900,80,65,0.0,403,125,212,740,0,778,924,0,0
269,7917,44,44,174.0,751,0,392,1143,0,1113,504,370,0
270,10728,14,14,0.0,0,0,1095,1095,844,1939,1053,192,0
271,39104,66,15,0.0,226,1063,96,1385,0,1363,439,81,0
272,11764,21,13,348.0,524,0,628,1152,1106,2270,671,132,0
273,9600,62,32,183.0,620,620,0,1240,0,1632,338,289,0
274,8314,38,38,0.0,546,0,270,816,0,816,264,168,0
275,7264,95,13,0.0,0,0,952,952,596,1548,672,74,0
276,9196,17,17,0.0,0,0,1560,1560,0,1560,573,100,0
277,19138,69,69,0.0,120,0,744,864,0,864,400,0,0
278,14450,14,13,315.0,0,0,2121,2121,0,2121,732,124,0
279,10005,43,43,299.0,392,0,768,1160,866,2022,505,288,0
280,11287,31,31,340.0,421,0,386,807,807,1982,575,0,0
281,7200,14,14,68.0,905,0,357,1262,0,1262,572,0,0
282,5063,13,12,166.0,904,0,410,1314,0,1314,626,172,0
283,9612,12,11,72.0,0,0,1468,1468,0,1468,898,210,0
284,8012,28,28,0.0,430,0,1145,1575,0,1575,529,0,0
285,4251,14,13,0.0,0,0,625,625,625,1250,528,0,0
286,9786,58,39,0.0,600,0,312,912,649,1734,440,0,0
288,9819,53,53,31.0,450,0,432,882,0,900,280,0,0
289,8730,105,17,0.0,0,0,698,698,698,1396,384,0,0
290,15611,14,14,0.0,0,0,1079,1079,840,1919,685,0,0
292,11409,71,12,0.0,292,0,476,768,568,1716,281,0,0
293,16659,43,26,34.0,795,0,0,795,795,2263,539,0,0
294,9600,67,67,238.0,1285,0,131,1416,0,1644,418,110,0
295,7937,36,36,0.0,819,0,184,1003,0,1003,588,120,0
296,13710,70,70,0.0,420,0,490,910,648,1558,282,289,0
297,7399,23,22,1600.0,649,0,326,975,975,1950,576,0,0
298,11700,52,52,365.0,384,175,143,702,702,1743,539,224,0
299,14000,70,16,0.0,0,0,1092,1092,0,1152,300,0,0
300,15750,67,67,56.0,841,0,324,1165,0,1336,375,0,0
301,16226,22,21,0.0,281,0,747,1028,1242,2452,683,208,0
302,13704,19,18,150.0,0,0,1541,1541,0,1541,843,468,0
303,9800,48,48,0.0,894,0,0,894,0,894,552,256,0
304,18386,140,18,0.0,0,0,1470,1470,1818,3493,870,302,0
305,10386,16,15,246.0,1464,0,536,2000,0,2000,888,168,0
306,13474,30,29,246.0,700,0,0,700,1121,2243,746,127,0
308,12342,80,70,0.0,262,0,599,861,0,861,539,158,0
309,12378,17,16,0.0,1274,0,622,1896,0,1944,708,208,0
310,7685,27,26,112.0,518,0,179,697,804,1501,420,190,0
311,8000,72,18,0.0,680,0,292,972,0,972,240,0,0
312,7800,81,70,0.0,507,0,286,793,325,1118,410,0,0
313,215245,55,55,0.0,1236,820,80,2136,0,2036,513,0,0
314,9600,95,30,0.0,16,0,712,728,809,1641,546,0,0
315,7795,16,15,0.0,425,0,291,716,716,1432,432,100,0
316,13005,40,40,278.0,692,0,153,845,1200,2353,484,288,0
317,9000,14,14,0.0,0,0,1088,1088,871,1959,1025,208,0
318,9900,27,27,256.0,987,0,360,1347,1274,2646,656,340,0
319,14115,40,40,225.0,1036,0,336,1372,0,1472,588,233,0
320,16259,14,14,370.0,0,0,1249,1249,1347,2596,840,240,0
321,12099,16,16,388.0,970,0,166,1136,1332,2468,872,184,0
322,10380,34,33,172.0,28,1474,0,1502,1177,2730,576,201,0
323,5820,65,15,0.0,256,0,906,1162,0,1163,220,142,0
324,11275,53,13,300.0,0,0,710,710,1080,2978,564,240,0
325,5000,79,70,0.0,116,0,604,720,0,803,360,0,0
326,10846,27,27,0.0,1619,0,100,1719,0,1719,473,122,0
327,11600,60,60,175.0,565,0,818,1383,0,1383,292,0,0
328,11888,104,26,0.0,0,0,844,844,689,2134,441,0,0
329,6402,100,70,0.0,0,0,596,596,596,1192,189,0,0
330,10624,56,56,84.0,40,264,1424,1728,0,1728,352,155,0
331,8176,62,28,0.0,846,0,210,1056,0,1056,308,0,0
332,10655,17,16,296.0,1124,479,1603,3206,0,1629,880,0,0
333,8198,16,16,146.0,720,0,638,1358,0,1358,484,192,0
334,9042,22,22,0.0,828,0,115,943,695,1638,472,100,0
335,164660,55,55,0.0,1249,147,103,1499,167,1786,529,670,700
336,14157,15,14,200.0,1249,0,673,1922,0,1922,676,178,0
337,9135,18,17,113.0,810,0,726,1536,0,1536,532,192,0
338,14145,36,22,0.0,213,0,995,1208,0,1621,440,108,400
